arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
8,7,12,フィアレススマイル,2017102135,牡,4,56,瀬川将輝,1:45.6,3,9-7-9-9,41.0,48.2,9,465,+5,[地]月岡健二,佐々木雄二,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
9,4,6,トゥインクルノヴァ,2017104458,セ,4,56,服部茂史,1:45.6,クビ,12-12-11-10,40.7,40.5,8,435,0,[地]鷹見浩,中山博,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
10,5,8,メイショウガロンヌ,2017106412,牡,4,56,吉原寛人,1:46.2,3,11-11-6-7,42.0,5.8,3,483,-14,[地]蛯名雄太,（株）ファーストビ,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
11,8,13,ヤマジュンヒルズ,2017102993,牡,4,56,石川駿介,1:47.8,8,14-14-13-13,40.4,212.0,13,428,0,[地]岡野尚光,山下洵一郎,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
12,7,11,アサキオトカ,2017100719,牝,4,54,福原杏,1:47.8,クビ,7-9-12-12,42.5,271.9,14,414,+9,[地]澤佳宏,杉野森正也,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
13,3,3,フタバドリーム,2017101653,牡,4,55,仲原大生,1:47.9,1/2,5-5-8-11,43.5,181.6,12,468,+13,[地]納谷和玖,小川一夫,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
14,6,10,プティバレッタ,2017104436,牝,4,54,小林拓未,1:49.5,8,13-13-14-14,42.4,177.3,11,440,-3,[地]岡野尚光,（有）富士ファーム,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
1,2,4,マウンテンホーク,2017106580,牡,4,56,安藤洋一,1:14.8,,5-3,37.9,3.1,2,505,0,[地]藤田輝信,ゴドルフィン,80.0,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
2,1,1,フォレストプリンス,2016104041,牡,5,56,森泰斗,1:14.9,3/4,1-1,38.3,1.5,1,497,+7,[地]森下淳平,国田正忠,32.0,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
3,3,6,ジュエルバローズ,2017106174,牝,4,54,張田昂,1:16.9,10,9-8,39.4,51.8,7,385,-8,[地]田中正人,篠原徹,20.0,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
4,3,5,カナラズクル,2017104854,牝,4,54,有年淳,1:16.9,アタマ,7-5,39.7,57.1,8,443,0,[地]納谷和玖,欠畑圭一,12.0,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
5,2,3,カリーナブルー,2017105934,牝,4,54,小林拓未,1:17.3,2,11-10,39.4,131.2,11,404,-9,[地]岡野尚光,山下晃徳,8.0,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
6,5,10,ハイロックスター,2017100330,セ,4,56,中村尚平,1:17.3,アタマ,12-12,39.1,25.5,4,456,-1,[地]高岩孝敏,井上久光,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
7,7,13,コーゲンサイモン,2017106268,セ,4,56,瀬川将輝,1:17.6,1.3/4,4-3,40.7,168.7,12,450,+2,[地]井上弘之,（株）光元コーポレ,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
8,6,11,ネオジョーダン,2017105685,牡,4,56,濱田達也,1:17.8,3/4,8-9,40.3,39.2,5,480,+7,[地]柏木一夫,（株）馬事学院,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
9,8,15,ドリームノーティス,2016105899,牝,5,54,松崎正泰,1:18.0,3/4,13-13,39.4,50.2,6,417,+2,[地]佐藤壽,酒井孝敏,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
10,6,12,トキノミライ,2017106740,牝,4,54,本村直樹,1:18.3,1.1/2,6-7,41.2,116.1,10,441,+16,[地]高岩孝敏,榊原勝好,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
11,4,7,ラムレットキス,2017101406,牝,4,54,今野忠成,1:18.7,2,10-11,41.1,300.6,14,383,0,[地]渡部則夫,多治見国壽,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
12,5,9,モンテサーナ,2017106628,牝,4,52,篠谷葵,1:18.7,ハナ,2-2,42.0,111.8,9,405,-2,[地]吉井竜一,勝山隆造,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
13,4,8,マボロシ,2017104108,牝,4,54,高橋昭平,1:19.3,3,3-6,42.4,282.0,13,395,+5,[地]佐藤壽,酒井孝敏,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
14,1,2,キタノライアン,2017104173,セ,4,56,石川駿介,1:19.8,2.1/2,14-14,38.8,7.8,3,498,-3,[地]田中正人,北所直人,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
除,7,14,ルピンテルツォ,2017100137,牡,4,56,町田直希,,,,,---,,477,+2,[地]栗田泰昌,永山和夫,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
取,8,16,シュトルツ,2017100824,牝,4,54,藤田凌,,,,,---,,,,[地]荒山勝徳,林正道,,C3九　十,6,ダ,右,1200,晴,良,13:15,2021年1月18日,大井,16,1,(別定)
1,2,2,ジニアズウィッシュ,2016101408,牝,5,54,江里口裕,1:42.8,,4-3-4-3,39.7,38.4,10,460,-1,[地]高橋清顕,今中俊平,100.0,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
2,3,4,カラヤン,2017100557,牡,4,56,森泰斗,1:42.9,1/2,1-1-1-1,40.1,19.8,7,491,+4,[地]松浦裕之,三岡陽,40.0,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
3,1,1,ノーブルローズ,2017103953,牝,4,54,笹川翼,1:43.5,3,8-6-5-5,40.2,5.1,3,441,-7,[地]佐野謙二,吉木伸彦,25.0,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
4,4,5,ヴィラバドラ,2015101875,牡,6,56,川島正太,1:43.9,2,12-12-12-11,39.9,4.3,2,460,+3,[地]月岡健二,池田俊道,15.0,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
5,6,9,プロスペロ,2017103386,牡,4,56,吉原寛人,1:44.1,1,2-2-2-2,41.3,5.5,4,500,+20,[地]福永敏,村上憲政,10.0,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
6,7,11,ボスアンルーリー,2015104457,牡,6,56,藤田凌,1:44.5,2,7-8-3-4,41.7,3.5,1,478,+6,[地]荒山勝徳,佐々木幸弘,,C212　1314,7,ダ,右,1600,晴,良,13:50,2021年1月18日,大井,16,1,(別定)
